start_times,daily_obs_effs,daily_total_times,daily_survey_times
2024-10-05 01:32:00.000,32.836904586037974,18922.00677758575,13704.093174218891
2024-10-06 01:06:00.000,32.47856937877254,19072.598718716843,13855.290076111312
2024-10-07 00:38:00.000,32.83008150088516,18923.29550932741,13706.94129979139
2024-10-08 00:12:00.000,32.82506462957267,18924.09416242053,13709.036222112632
2024-10-09 01:26:00.000,32.81857442574882,18925.05574171261,13711.747322179195
2024-10-10 00:58:00.000,32.44887636580798,18896.04662094385,13867.96864479948
2024-10-11 00:32:00.000,32.80354571935987,18927.124847951643,13718.0292596974
2024-10-12 00:04:00.000,32.78711018927567,18688.282893977943,13724.905836537873
2024-10-13 01:18:00.000,32.77685673548395,18689.6095446543,13729.199344268842
2024-10-14 00:52:00.000,32.77002908319681,18810.923288457714,13732.05982996037
2024-10-15 00:26:00.000,32.75883066636654,18752.30495697745,13736.75405520547
2024-10-16 01:40:00.000,33.10745397058776,18603.855153009154,13592.105282386685
2024-10-17 01:12:00.000,33.094603637907596,18665.362926701255,13597.382972871019
2024-10-18 00:46:00.000,33.08109765265499,18606.92887939359,13602.934362242491
2024-10-19 00:18:00.000,32.71029935500703,18938.371844786157,13757.13487413002
2024-10-20 01:32:00.000,32.69560712131,18939.862183052446,13763.316837346745
2024-10-21 01:06:00.000,32.68211564625088,18881.29421506344,13768.998459915238
2024-10-22 00:38:00.000,32.66345581329041,18702.760859284746,13776.864351778107
2024-10-23 00:12:00.000,32.65264565577907,18824.263675096998,13781.425393331221
2024-10-24 01:26:00.000,32.63813013406133,18825.908701966877,13787.554561233199
2024-10-25 01:00:00.000,32.624223946104365,18767.47643953572,13793.431553909322
2024-10-26 00:32:00.000,32.61002941071467,18829.07079483096,13799.435576471564
2024-10-27 00:06:00.000,32.595513775631154,18770.694180686263,13805.580826169584
2024-10-28 01:20:00.000,32.58179602292282,18892.46083888386,13811.39332170037
2024-10-29 00:52:00.000,32.56667619279261,18954.133618518787,13817.80557942202
2024-10-30 00:26:00.000,32.55128750223854,18895.831328409324,13824.33797646418
2024-10-31 01:40:00.000,32.53455439022813,18957.673346722368,13831.448084475966
2024-11-01 01:14:00.000,32.518697478539664,18899.41492051863,13838.192636619971
2024-11-02 00:46:00.000,32.50266370292147,18961.173981453834,13845.019107143276
2024-11-03 00:20:00.000,32.48641159062794,18902.953935520185,13851.945412457351
2024-11-04 01:34:00.000,32.121161990518914,19054.879825796637,14009.45582643694
2024-11-05 01:08:00.000,32.10633451897755,19116.696109690645,14015.925727491942
2024-11-06 00:40:00.000,32.088486796700586,19118.526615792474,14023.721431646632
2024-11-07 00:14:00.000,32.0719021657614,19060.375144238693,14030.973207457613
2024-11-08 01:28:00.000,32.05398532693858,19062.37148253099,14038.815935371826
2024-11-09 01:02:00.000,32.038313789779586,19064.250983734782,14045.683020420152
2024-11-10 00:34:00.000,32.36674731719886,19156.14238618842,13903.157941387628
2024-11-11 00:08:00.000,31.667383230019798,19338.049787363172,14210.204762779784
2024-11-12 01:22:00.000,31.649177178203118,19340.107071973613,14218.379121398337
2024-11-13 00:56:00.000,31.63205661849971,19342.041688137848,14226.074688321776
